Name,Position,Nationality,Age,Club,Value,Games,Goals,Assists,Yellows,Reds,Points
Conor Kearns,Goalkeeper ,IRELAND,26,Shelbourne,€91k,19,0,1,0,0,75
Patrick Barrett,Defender ,IRELAND,30,Shelbourne,€95k,17,0,1,7,0,60
Sean Boyd,Defender ,IRELAND,25,Shelbourne,€73k,16,6,2,3,1,84
Sean Gannon,Defender ,IRELAND,32,Shelbourne,€94k,17,0,1,5,0,62
Shane Griffin,Defender ,IRELAND,29,Shelbourne,€89k,1,0,0,0,0,1
Kameron Ledwidge,Defender ,IRELAND,23,Shelbourne,€69k,17,0,0,1,0,58
Jonathan Lunney,Defender ,IRELAND,26,Shelbourne,€96k,19,0,0,5,0,65
Lewis Temple,Defender ,IRELAND,18,Shelbourne,€23k,2,0,0,0,0,7
Liam Burt,Midfielder ,SCOTLAND,25,Shelbourne,€119k,16,1,0,2,0,39
Evan Caffrey,Midfielder ,IRELAND,21,Shelbourne,€72k,17,1,1,2,0,35
Mark Coyle,Midfielder ,IRELAND,27,Shelbourne,€74k,16,2,1,8,0,42
Gavin Molloy,Midfielder ,IRELAND,22,Shelbourne,€50k,19,1,0,0,0,50
John O'Sullivan,Midfielder ,IRELAND,30,Shelbourne,€71k,16,1,0,4,0,30
Keith Ward,Midfielder ,IRELAND,33,Shelbourne,€47k,2,0,0,1,0,0
Tyreke Wilson,Midfielder ,IRELAND,24,Shelbourne,€96k,19,0,3,1,0,47
Shane Farrell,Forward ,IRELAND,23,Shelbourne,€94k,15,0,1,5,1,8
Jad Hakiki,Forward ,IRELAND,19,Shelbourne,€47k,4,0,0,0,0,3
Will Jarvis,Forward ,ENGLAND,21,Shelbourne,N/A,19,7,3,0,0,70
John Martin,Forward ,IRELAND,25,Shelbourne,€122k,14,2,1,3,0,28
Matthew Smith,Forward ,SCOTLAND,27,Shelbourne,€121k,17,0,1,4,0,27
Dean Williams,Forward ,IRELAND,24,Shelbourne,€92k,11,0,0,1,0,9
Damien Duff,End of career,IRELAND,45,Shelbourne,N/A,0,0,0,0,0,0
Brian Maher,Goalkeeper ,IRELAND,23,Derry City,€138k,19,0,0,2,0,59
Ronan Boyce,Defender ,IRELAND,23,Derry City,€119k,20,2,0,1,0,77
Ciaran Coll,Defender ,IRELAND,32,Derry City,€50k,14,0,0,2,0,43
Mark Connolly,Defender ,IRELAND,32,Derry City,€261k,16,0,2,3,0,54
Cameron Dummigan,Defender ,NORTHERN IRELAND,27,Derry City,€119k,6,0,0,0,0,14
Shane McEleney,Defender ,NORTHERN IRELAND,33,Derry City,€70k,13,0,0,0,0,37
Cameron McJannett,Defender ,ENGLAND,25,Derry City,€145k,19,0,1,2,0,61
Sam Todd,Defender ,SCOTLAND,26,Derry City,€47k,9,0,0,1,0,27
Sadou Diallo,Midfielder ,ENGLAND,24,Derry City,€147k,6,0,0,0,0,9
Ben Doherty,Midfielder ,NORTHERN IRELAND,27,Derry City,€147k,15,0,1,1,0,28
Ciaron Harkin,Midfielder ,NORTHERN IRELAND,28,Derry City,€42k,3,0,0,0,0,4
Patrick McEleney,Midfielder ,IRELAND,31,Derry City,€145k,7,0,1,0,0,13
Jordan McEneff,Midfielder ,IRELAND,23,Derry City,€143k,10,0,0,0,0,15
Paul McMullan,Midfielder ,SCOTLAND,28,Derry City,€447k,20,3,3,4,0,62
Liam Mullan,Midfielder ,IRELAND,20,Derry City,N/A,1,0,0,0,0,2
Adam O'Reilly,Midfielder ,IRELAND,23,Derry City,€285k,18,1,0,4,0,37
William Patching,Midfielder ,ENGLAND,25,Derry City,€233k,17,4,2,4,0,57
Michael Duffy,Forward ,NORTHERN IRELAND,29,Derry City,€179k,15,4,3,2,0,45
Patrick Hoban,Forward ,IRELAND,32,Derry City,€122k,17,10,1,5,0,65
Daniel Kelly,Forward ,IRELAND,28,Derry City,€119k,19,0,1,2,0,25
Daniel Mullen,Forward ,SCOTLAND,29,Derry City,€241k,14,5,1,0,0,41
Sean Patton,Forward ,IRELAND,17,Derry City,N/A,6,1,0,1,0,9
Ruaidhri Higgins,Coach ,IRELAND,39,Derry City,N/A,0,0,0,0,0,0
Leon Pohls,Goalkeeper ,GERMANY,27,Shamrock Rovers,€66k,20,0,0,1,0,57
Trevor Clarke,Defender ,IRELAND,26,Shamrock Rovers,€140k,16,2,0,2,0,45
Daniel Cleary,Defender ,IRELAND,28,Shamrock Rovers,€277k,19,1,0,7,0,53
Lee Grace,Defender ,IRELAND,31,Shamrock Rovers,€117k,8,0,0,3,0,16
Sean Hoare,Defender ,IRELAND,30,Shamrock Rovers,€161k,6,0,0,0,0,12
Joshua Honohan,Defender ,IRELAND,23,Shamrock Rovers,€68k,20,2,0,5,0,63
Sean Kavanagh,Defender ,IRELAND,30,Shamrock Rovers,€117k,10,0,0,1,0,18
Roberto Lopes,Defender ,CAPE VERDE,31,Shamrock Rovers,€193k,23,1,0,6,1,68
Cory O'Sullivan,Defender ,IRELAND,18,Shamrock Rovers,N/A,3,0,0,0,0,11
Cian Barrett,Midfielder ,IRELAND,19,Shamrock Rovers,N/A,5,0,0,0,0,6
Matthew Britton,Midfielder ,IRELAND,16,Shamrock Rovers,N/A,1,0,0,0,0,1
Darragh Burns,Midfielder ,IRELAND,21,Shamrock Rovers,€147k,16,4,3,3,0,58
Jack Byrne,Midfielder ,IRELAND,28,Shamrock Rovers,€482k,6,0,0,0,0,6
