ID,Date,Home Team,Away Team,Player,Club,Event Type,Points
Conor Kearns Shamrock Rovers 24.05.24 Minutes,24.05.24,Shamrock Rovers,Shelbourne,Conor Kearns,Shelbourne,over60,2
Conor Kearns Shamrock Rovers 24.05.24 Clean Sheet,24.05.24,Shamrock Rovers,Shelbourne,Conor Kearns,Shelbourne,clean,4
Conor Kearns St. Patricks 20.05.24 Minutes,20.05.24,St. Patricks,Shelbourne,Conor Kearns,Shelbourne,over60,2
Conor Kearns Waterford 17.05.24 Minutes,17.05.24,Shelbourne,Waterford,Conor Kearns,Shelbourne,over60,2
Conor Kearns Waterford 17.05.24 Clean Sheet,17.05.24,Shelbourne,Waterford,Conor Kearns,Shelbourne,clean,4
Conor Kearns Drogheda 10.05.24 Minutes,10.05.24,Shelbourne,Drogheda,Conor Kearns,Shelbourne,over60,2
Conor Kearns Derry City 06.05.24 Minutes,06.05.24,Derry City,Shelbourne,Conor Kearns,Shelbourne,over60,2
Conor Kearns Dundalk 03.05.24 Minutes,03.05.24,Dundalk,Shelbourne,Conor Kearns,Shelbourne,over60,2
Conor Kearns Dundalk 03.05.24 Clean Sheet,03.05.24,Dundalk,Shelbourne,Conor Kearns,Shelbourne,clean,4
Conor Kearns St. Patricks 26.04.24 Minutes,26.04.24,Shelbourne,St. Patricks,Conor Kearns,Shelbourne,over60,2
Conor Kearns St. Patricks 26.04.24 Clean Sheet,26.04.24,Shelbourne,St. Patricks,Conor Kearns,Shelbourne,clean,4
Conor Kearns Shamrock Rovers 22.04.24 Minutes,22.04.24,Shelbourne,Shamrock Rovers,Conor Kearns,Shelbourne,over60,2
Conor Kearns Shamrock Rovers 22.04.24 Clean Sheet,22.04.24,Shelbourne,Shamrock Rovers,Conor Kearns,Shelbourne,clean,4
Conor Kearns Galway 19.04.24 Minutes,19.04.24,Galway,Shelbourne,Conor Kearns,Shelbourne,over60,2
Conor Kearns Bohemians 12.04.24 Minutes,12.04.24,Shelbourne,Bohemians,Conor Kearns,Shelbourne,over60,2
Conor Kearns Bohemians 12.04.24 Conceded 2,12.04.24,Shelbourne,Bohemians,Conor Kearns,Shelbourne,twoconceded,-1
Conor Kearns Drogheda 05.04.24 Minutes,05.04.24,Drogheda,Shelbourne,Conor Kearns,Shelbourne,over60,2
Conor Kearns Drogheda 05.04.24 Conceded 2,05.04.24,Drogheda,Shelbourne,Conor Kearns,Shelbourne,twoconceded,-1
Conor Kearns Derry City 01.04.24 Minutes,01.04.24,Shelbourne,Derry City,Conor Kearns,Shelbourne,over60,2
Conor Kearns Derry City 01.04.24 Clean Sheet,01.04.24,Shelbourne,Derry City,Conor Kearns,Shelbourne,clean,4
Conor Kearns Dundalk 29.03.24 Minutes,29.03.24,Shelbourne,Dundalk,Conor Kearns,Shelbourne,over60,2
Conor Kearns St. Patricks 15.03.24 Minutes,15.03.24,St. Patricks,Shelbourne,Conor Kearns,Shelbourne,over60,2
Conor Kearns Bohemians 08.03.24 Minutes,08.03.24,Bohemians,Shelbourne,Conor Kearns,Shelbourne,over60,2
Conor Kearns Bohemians 08.03.24 Clean Sheet,08.03.24,Bohemians,Shelbourne,Conor Kearns,Shelbourne,clean,4
Conor Kearns Galway 04.03.24 Minutes,04.03.24,Shelbourne,Galway,Conor Kearns,Shelbourne,over60,2
Conor Kearns Galway 04.03.24 Clean Sheet,04.03.24,Shelbourne,Galway,Conor Kearns,Shelbourne,clean,4
Conor Kearns Sligo Rovers 01.03.24 Minutes,01.03.24,Sligo Rovers,Shelbourne,Conor Kearns,Shelbourne,over60,2
Conor Kearns Sligo Rovers 01.03.24 Clean Sheet,01.03.24,Sligo Rovers,Shelbourne,Conor Kearns,Shelbourne,clean,4
Conor Kearns Shamrock Rovers 23.02.24 Minutes,23.02.24,Shelbourne,Shamrock Rovers,Conor Kearns,Shelbourne,over60,2
Conor Kearns Shamrock Rovers 23.02.24 Assist 1,23.02.24,Shelbourne,Shamrock Rovers,Conor Kearns,Shelbourne,assist,3
Conor Kearns Waterford 16.02.24 Minutes,16.02.24,Waterford,Shelbourne,Conor Kearns,Shelbourne,over60,2
Patrick Barrett Shamrock Rovers 24.05.24 Minutes,24.05.24,Shamrock Rovers,Shelbourne,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Shamrock Rovers 24.05.24 Clean Sheet,24.05.24,Shamrock Rovers,Shelbourne,Patrick Barrett,Shelbourne,clean,4
Patrick Barrett St. Patricks 20.05.24 Minutes,20.05.24,St. Patricks,Shelbourne,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett St. Patricks 20.05.24 Yellow 1,20.05.24,St. Patricks,Shelbourne,Patrick Barrett,Shelbourne,yellow,-1
Patrick Barrett Waterford 17.05.24 Minutes,17.05.24,Shelbourne,Waterford,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Waterford 17.05.24 Yellow 1,17.05.24,Shelbourne,Waterford,Patrick Barrett,Shelbourne,yellow,-1
Patrick Barrett Waterford 17.05.24 Clean Sheet,17.05.24,Shelbourne,Waterford,Patrick Barrett,Shelbourne,clean,4
Patrick Barrett Drogheda 10.05.24 Minutes,10.05.24,Shelbourne,Drogheda,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Derry City 06.05.24 Minutes,06.05.24,Derry City,Shelbourne,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Dundalk 03.05.24 Minutes,03.05.24,Dundalk,Shelbourne,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Dundalk 03.05.24 Clean Sheet,03.05.24,Dundalk,Shelbourne,Patrick Barrett,Shelbourne,clean,4
Patrick Barrett Shamrock Rovers 22.04.24 Minutes,22.04.24,Shelbourne,Shamrock Rovers,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Shamrock Rovers 22.04.24 Yellow 1,22.04.24,Shelbourne,Shamrock Rovers,Patrick Barrett,Shelbourne,yellow,-1
Patrick Barrett Shamrock Rovers 22.04.24 Clean Sheet,22.04.24,Shelbourne,Shamrock Rovers,Patrick Barrett,Shelbourne,clean,4
Patrick Barrett Galway 19.04.24 Minutes,19.04.24,Galway,Shelbourne,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Bohemians 12.04.24 Minutes,12.04.24,Shelbourne,Bohemians,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Bohemians 12.04.24 Yellow 1,12.04.24,Shelbourne,Bohemians,Patrick Barrett,Shelbourne,yellow,-1
Patrick Barrett Bohemians 12.04.24 Conceded 2,12.04.24,Shelbourne,Bohemians,Patrick Barrett,Shelbourne,twoconceded,-1
Patrick Barrett Drogheda 05.04.24 Minutes,05.04.24,Drogheda,Shelbourne,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Drogheda 05.04.24 Conceded 2,05.04.24,Drogheda,Shelbourne,Patrick Barrett,Shelbourne,twoconceded,-1
Patrick Barrett Derry City 01.04.24 Minutes,01.04.24,Shelbourne,Derry City,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Derry City 01.04.24 Yellow 1,01.04.24,Shelbourne,Derry City,Patrick Barrett,Shelbourne,yellow,-1
Patrick Barrett Derry City 01.04.24 Clean Sheet,01.04.24,Shelbourne,Derry City,Patrick Barrett,Shelbourne,clean,4
Patrick Barrett Dundalk 29.03.24 Minutes,29.03.24,Shelbourne,Dundalk,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Dundalk 29.03.24 Yellow 1,29.03.24,Shelbourne,Dundalk,Patrick Barrett,Shelbourne,yellow,-1
Patrick Barrett St. Patricks 15.03.24 Minutes,15.03.24,St. Patricks,Shelbourne,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Bohemians 08.03.24 Minutes,08.03.24,Bohemians,Shelbourne,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Bohemians 08.03.24 Clean Sheet,08.03.24,Bohemians,Shelbourne,Patrick Barrett,Shelbourne,clean,4
Patrick Barrett Galway 04.03.24 Minutes,04.03.24,Shelbourne,Galway,Patrick Barrett,Shelbourne,over60,2
Patrick Barrett Galway 04.03.24 Yellow 1,04.03.24,Shelbourne,Galway,Patrick Barrett,Shelbourne,yellow,-1
Patrick Barrett Galway 04.03.24 Clean Sheet,04.03.24,Shelbourne,Galway,Patrick Barrett,Shelbourne,clean,4
Patrick Barrett Sligo Rovers 01.03.24 Minutes,01.03.24,Sligo Rovers,Shelbourne,Patrick Barrett,Shelbourne,over60,2
